x	F(x)
0.0	-0.500000
0.1	-0.400167
0.2	-0.301331
0.3	-0.204480
0.4	-0.110582
0.5	-0.020574
0.6	0.064642
0.7	0.144218
0.8	0.217356
0.9	0.283327
1.0	0.341471
1.1	0.391207
1.2	0.432039
1.3	0.463558
1.4	0.485450
1.5	0.497495
1.6	0.499574
1.7	0.491665
1.8	0.473848
1.9	0.446300
2.0	0.409297
2.1	0.363209
2.2	0.308496
2.3	0.245705
2.4	0.175463
2.5	0.098472
2.6	0.015501
2.7	-0.072620
2.8	-0.165012
2.9	-0.260751
3.0	-0.358880
3.1	-0.458419
3.2	-0.558374
3.3	-0.657746
3.4	-0.755541
3.5	-0.850783
3.6	-0.942520
3.7	-1.029836
3.8	-1.111858
3.9	-1.187766
4.0	-1.256802
4.1	-1.318277
4.2	-1.371576
4.3	-1.416166
4.4	-1.451602
4.5	-1.477530
4.6	-1.493691
4.7	-1.499923
4.8	-1.496165
4.9	-1.482453
5.0	-1.458924
5.1	-1.425815
5.2	-1.383455
5.3	-1.332267
5.4	-1.272764
5.5	-1.205540
5.6	-1.131267
5.7	-1.050686
5.8	-0.964602
5.9	-0.873877
6.0	-0.779415
6.1	-0.682163
6.2	-0.583089
6.3	-0.483186
6.4	-0.383451
6.5	-0.284880
6.6	-0.188459
6.7	-0.095150
6.8	-0.005887
6.9	0.078440
7.0	0.156987
7.1	0.228969
7.2	0.293668
7.3	0.350437
7.4	0.398708
7.5	0.438000
7.6	0.467920
7.7	0.488168
7.8	0.498543
7.9	0.498941
8.0	0.489358
8.1	0.469890
8.2	0.440731
8.3	0.402172
8.4	0.354599
8.5	0.298487
8.6	0.234397
8.7	0.162969
8.8	0.084917
8.9	0.001021
9.0	-0.087882
9.1	-0.180902
9.2	-0.277110
9.3	-0.375546
9.4	-0.475225
9.5	-0.575151
9.6	-0.674327
9.7	-0.771761
9.8	-0.866479
9.9	-0.957536
10.0	-1.044021
10.1	-1.125071
10.2	-1.199875
10.3	-1.267686
10.4	-1.327826
10.5	-1.379696
10.6	-1.422775
10.7	-1.456635
10.8	-1.480936
10.9	-1.495436
11.0	-1.499990
11.1	-1.494553
11.2	-1.479178
11.3	-1.454019
11.4	-1.419329
11.5	-1.375452
11.6	-1.322829
11.7	-1.261984
11.8	-1.193525
11.9	-1.118137
12.0	-1.036573
12.1	-0.949647
12.2	-0.858229
12.3	-0.763232
12.4	-0.665604
12.5	-0.566322
