Крок	x1	x2	Phi(X)
0	-1.200000	0.000000	7.993600e+00
1	-1.800000	-0.600000	1.600000e+00
2	-1.600000	-1.200000	1.600000e-01
3	-1.600000	-1.200000	1.600000e-01
4	-1.500000	-1.300000	4.360000e-02
5	-1.450000	-1.400000	6.406250e-03
6	-1.400000	-1.400000	6.400000e-03
7	-1.425000	-1.400000	7.128906e-04
8	-1.425000	-1.400000	7.128906e-04
9	-1.425000	-1.400000	7.128906e-04
10	-1.425000	-1.400000	7.128906e-04
11	-1.425000	-1.400000	7.128906e-04
12	-1.425000	-1.400000	7.128906e-04
13	-1.425000	-1.400000	7.128906e-04
14	-1.425000	-1.400000	7.128906e-04
15	-1.425000	-1.400000	7.128906e-04
16	-1.425000	-1.400000	7.128906e-04
17	-1.425000	-1.400000	7.128906e-04
18	-1.425000	-1.400000	7.128906e-04
19	-1.425000	-1.400000	7.128906e-04
20	-1.425000	-1.400000	7.128906e-04
21	-1.425000	-1.400000	7.128906e-04
22	-1.425000	-1.400000	7.128906e-04
23	-1.425000	-1.400000	7.128906e-04
24	-1.425000	-1.400000	7.128906e-04
25	-1.425000	-1.400000	7.128906e-04
26	-1.425000	-1.400000	7.128906e-04
27	-1.425000	-1.400000	7.128906e-04
28	-1.425000	-1.400000	7.128906e-04
29	-1.425000	-1.400000	7.128906e-04
30	-1.425000	-1.400000	7.128906e-04
31	-1.425000	-1.400000	7.128906e-04
32	-1.425000	-1.400000	7.128906e-04
33	-1.425000	-1.400000	7.128906e-04
34	-1.425000	-1.400000	7.128906e-04
35	-1.425000	-1.400000	7.128906e-04
36	-1.425000	-1.400000	7.128906e-04
37	-1.425000	-1.400000	7.128906e-04
38	-1.425000	-1.400000	7.128906e-04
39	-1.425000	-1.400000	7.128906e-04
40	-1.425000	-1.400000	7.128906e-04
41	-1.425000	-1.400000	7.128906e-04
42	-1.425000	-1.400000	7.128906e-04
43	-1.425000	-1.400000	7.128906e-04
44	-1.425000	-1.400000	7.128906e-04
45	-1.425000	-1.400000	7.128906e-04
46	-1.425000	-1.400000	7.128906e-04
47	-1.425000	-1.400000	7.128906e-04
48	-1.425000	-1.400000	7.128906e-04
49	-1.425000	-1.400000	7.128906e-04
50	-1.425000	-1.400000	7.128906e-04
51	-1.425000	-1.400000	7.128906e-04
52	-1.425000	-1.400000	7.128906e-04
53	-1.425000	-1.400000	7.128906e-04
54	-1.425000	-1.400000	7.128906e-04
55	-1.425000	-1.400000	7.128906e-04
56	-1.425000	-1.400000	7.128906e-04
57	-1.425000	-1.400000	7.128906e-04
58	-1.425000	-1.400000	7.128906e-04
59	-1.425000	-1.400000	7.128906e-04
60	-1.425000	-1.400000	7.128906e-04
61	-1.425000	-1.400000	7.128906e-04
62	-1.425000	-1.400000	7.128906e-04
63	-1.425000	-1.400000	7.128906e-04
64	-1.425000	-1.400000	7.128906e-04
65	-1.425000	-1.400000	7.128906e-04
66	-1.425000	-1.400000	7.128906e-04
67	-1.425000	-1.400000	7.128906e-04
68	-1.425000	-1.400000	7.128906e-04
69	-1.425000	-1.400000	7.128906e-04
70	-1.425000	-1.400000	7.128906e-04
71	-1.425000	-1.400000	7.128906e-04
72	-1.425000	-1.400000	7.128906e-04
73	-1.425000	-1.400000	7.128906e-04
74	-1.425000	-1.400000	7.128906e-04
75	-1.425000	-1.400000	7.128906e-04
76	-1.425000	-1.400000	7.128906e-04
77	-1.425000	-1.400000	7.128906e-04
78	-1.425000	-1.400000	7.128906e-04
79	-1.425000	-1.400000	7.128906e-04
80	-1.425000	-1.400000	7.128906e-04
81	-1.425000	-1.400000	7.128906e-04
82	-1.425000	-1.400000	7.128906e-04
83	-1.425000	-1.400000	7.128906e-04
84	-1.425000	-1.400000	7.128906e-04
85	-1.425000	-1.400000	7.128906e-04
86	-1.425000	-1.400000	7.128906e-04
87	-1.425000	-1.400000	7.128906e-04
88	-1.425000	-1.400000	7.128906e-04
89	-1.425000	-1.400000	7.128906e-04
90	-1.425000	-1.400000	7.128906e-04
91	-1.425000	-1.400000	7.128906e-04
92	-1.425000	-1.400000	7.128906e-04
93	-1.425000	-1.400000	7.128906e-04
94	-1.425000	-1.400000	7.128906e-04
95	-1.425000	-1.400000	7.128906e-04
96	-1.425000	-1.400000	7.128906e-04
97	-1.425000	-1.400000	7.128906e-04
98	-1.425000	-1.400000	7.128906e-04
99	-1.425000	-1.400000	7.128906e-04
100	-1.425000	-1.400000	7.128906e-04
101	-1.425000	-1.400000	7.128906e-04
102	-1.425000	-1.400000	7.128906e-04
103	-1.425000	-1.400000	7.128906e-04
104	-1.425000	-1.400000	7.128906e-04
105	-1.425000	-1.400000	7.128906e-04
106	-1.425000	-1.400000	7.128906e-04
107	-1.425000	-1.400000	7.128906e-04
108	-1.425000	-1.400000	7.128906e-04
109	-1.425000	-1.400000	7.128906e-04
110	-1.425000	-1.400000	7.128906e-04
111	-1.425000	-1.400000	7.128906e-04
112	-1.425000	-1.400000	7.128906e-04
113	-1.425000	-1.400000	7.128906e-04
114	-1.425000	-1.400000	7.128906e-04
115	-1.425000	-1.400000	7.128906e-04
116	-1.425000	-1.400000	7.128906e-04
117	-1.425000	-1.400000	7.128906e-04
118	-1.425000	-1.400000	7.128906e-04
119	-1.425000	-1.400000	7.128906e-04
120	-1.425000	-1.400000	7.128906e-04
121	-1.425000	-1.400000	7.128906e-04
122	-1.425000	-1.400000	7.128906e-04
123	-1.425000	-1.400000	7.128906e-04
124	-1.425000	-1.400000	7.128906e-04
125	-1.425000	-1.400000	7.128906e-04
126	-1.425000	-1.400000	7.128906e-04
127	-1.425000	-1.400000	7.128906e-04
128	-1.425000	-1.400000	7.128906e-04
129	-1.425000	-1.400000	7.128906e-04
130	-1.425000	-1.400000	7.128906e-04
131	-1.425000	-1.400000	7.128906e-04
132	-1.425000	-1.400000	7.128906e-04
133	-1.425000	-1.400000	7.128906e-04
134	-1.425000	-1.400000	7.128906e-04
135	-1.425000	-1.400000	7.128906e-04
136	-1.425000	-1.400000	7.128906e-04
137	-1.425000	-1.400000	7.128906e-04
138	-1.425000	-1.400000	7.128906e-04
139	-1.425000	-1.400000	7.128906e-04
140	-1.425000	-1.400000	7.128906e-04
141	-1.425000	-1.400000	7.128906e-04
142	-1.425000	-1.400000	7.128906e-04
143	-1.425000	-1.400000	7.128906e-04
144	-1.425000	-1.400000	7.128906e-04
145	-1.425000	-1.400000	7.128906e-04
146	-1.425000	-1.400000	7.128906e-04
147	-1.425000	-1.400000	7.128906e-04
148	-1.425000	-1.400000	7.128906e-04
149	-1.425000	-1.400000	7.128906e-04
150	-1.425000	-1.400000	7.128906e-04
151	-1.425000	-1.400000	7.128906e-04
152	-1.425000	-1.400000	7.128906e-04
153	-1.425000	-1.400000	7.128906e-04
154	-1.425000	-1.400000	7.128906e-04
155	-1.425000	-1.400000	7.128906e-04
156	-1.425000	-1.400000	7.128906e-04
157	-1.425000	-1.400000	7.128906e-04
158	-1.425000	-1.400000	7.128906e-04
159	-1.425000	-1.400000	7.128906e-04
160	-1.425000	-1.400000	7.128906e-04
161	-1.425000	-1.400000	7.128906e-04
162	-1.425000	-1.400000	7.128906e-04
163	-1.425000	-1.400000	7.128906e-04
164	-1.425000	-1.400000	7.128906e-04
165	-1.425000	-1.400000	7.128906e-04
166	-1.425000	-1.400000	7.128906e-04
167	-1.425000	-1.400000	7.128906e-04
168	-1.425000	-1.400000	7.128906e-04
169	-1.425000	-1.400000	7.128906e-04
170	-1.425000	-1.400000	7.128906e-04
171	-1.425000	-1.400000	7.128906e-04
172	-1.425000	-1.400000	7.128906e-04
173	-1.425000	-1.400000	7.128906e-04
174	-1.425000	-1.400000	7.128906e-04
175	-1.425000	-1.400000	7.128906e-04
176	-1.425000	-1.400000	7.128906e-04
177	-1.425000	-1.400000	7.128906e-04
178	-1.425000	-1.400000	7.128906e-04
179	-1.425000	-1.400000	7.128906e-04
180	-1.425000	-1.400000	7.128906e-04
181	-1.425000	-1.400000	7.128906e-04
182	-1.425000	-1.400000	7.128906e-04
183	-1.425000	-1.400000	7.128906e-04
184	-1.425000	-1.400000	7.128906e-04
185	-1.425000	-1.400000	7.128906e-04
186	-1.425000	-1.400000	7.128906e-04
187	-1.425000	-1.400000	7.128906e-04
188	-1.425000	-1.400000	7.128906e-04
189	-1.425000	-1.400000	7.128906e-04
190	-1.425000	-1.400000	7.128906e-04
191	-1.425000	-1.400000	7.128906e-04
192	-1.425000	-1.400000	7.128906e-04
193	-1.425000	-1.400000	7.128906e-04
194	-1.425000	-1.400000	7.128906e-04
